"row_number","ingredient_description","recipeIngredient","optional","substitutions?"
1,"2 Tbsp adobo sauce","adobo sauce",,
2,"1 Tbsp all spice seeds","all spice",,
3,"2 Tbsp allspice berries","allspice berries",,
4,"1/4 cup almonds","almonds",,
5,"2 Tbsp almonds or pistachios (chopped)","almonds",,
6,"1 cup blanched almonds","almonds",,
7,"1/2  cup toasted almonds (chopped (optional))","almonds",TRUE,
8,"2     anaheim chilies (chopped (or 1 small can of green chilies))","anaheim chilies",,
9,"2  anchovies (finely chopped (optional))","anchovies",TRUE,
10,"1  anchovy (finely chopped (optional))","anchovies",TRUE,
11,"1  anchovy (finely chopped)","anchovies",,
12,"anything you would pair with roast chicken","Misc",,
13,"2 cups apple cider","apple cider",,
14,"2 Tbsp apple cider","apple cider",,
15,"1 Tbsp apple cider vinegar","apple cider vinegar",,
16,"2  apples","apples",,
17,"1 1/2  apples (cored and chopped into small pieces)","apples",,
18,"3  apples (cubed)","apples",,
19,"asparagus","asparagus",,
20,"1/2 bunch asparagus","asparagus",,
21,"6 - 10 spears asparagus","asparagus",,
22,"1/2  avocado","avocado",,
23,"1  avocado","avocado",,
24,"1/2  avocado (chopped)","avocado",,
25,"avocado","avocado",,
26,"avocado (diced (to taste))","avocado",,
27,"1/2  avocado (diced)","avocado",,
28,"avocado slices","avocado",,
29,"3 strips bacon (cut into small pieces)","bacon",,
30,"2 cans baked beans ((27 oz))","baked beans",,
31,"2 tsp baking powder","baking powder",,
32,"2 1/2 tsps baking powder","baking powder",,
33,"1 Tbsp baking powder","baking powder",,
34,"1 tsp baking soda","baking soda",,
35,"1/4 tsp baking soda","baking soda",,
36,"2 tsp baking soda","baking soda",,
37,"3/4 tsp baking soda","baking soda",,
38,"2 tsps baking soda","baking soda",,
39,"1  banana (ripe)","bananas",,
40,"2  bananas (mashed)","bananas",,
41,"2  bananas (sliced)","bananas",,
42,"2  bananas (peeled and split in half)","bananas",,
43," basil (finely chopped (optional))","basil",TRUE,
44,"1/4   basil (cut into ribbons (optional))","basil",TRUE,
